,,,,,,,,,,,,"Survey","Participant","Question 1","Question 2","Question 3","Question 4","{{Q://Q5/ChoiceTextEntryValue}}.1","{{Q://Q5/ChoiceTextEntryValue}}.2","{{Q://Q5/ChoiceTextEntryValue}}.3","{{Q://Q5/ChoiceTextEntryValue}}.4","{{Q://Q5/ChoiceTextEntryValue}}.5","{{Q://Q5/ChoiceTextEntryValue}}.6","{{Q://Q5/ChoiceTextEntryValue}}.7","Question 6","Question 7","Question 8","{{Q://Q9/ChoiceTextEntryValue}}","Question 10","Question 11","Question 12","Question 13","Question 14","Question 15","Question 16","Question 17","Question 18","Question 19","Question 20","Question 21","Question 22","Question 23","Question 24","Question 25"
,,,,,,,,,,,,,"Question Text","מאז הסקר האחרון, הרגשתי מודאגת או מפוחדת","ברגע זה, אני מרגישה פחד או לחץ","ברגע זה, אני מרגישה חסרת מנוחה","מאז הסקר האחרון, דעתי הוסחה בקלות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות","ברגע זה, אני מרגישה מרוגזת או כועסת","מאז הסקר האחרון, הרגשתי מתוסכלת","מאז הסקר האחרון, כעסתי או התעצבנתי כשדברים קרו לא כמו שרציתי","תני דוגמה למשהו שעצבן אותך היום (אפשר גם להקליט תשובה)","מאז הסקר האחרון, יצא שאמרתי את הדבר הראשון שעלה לי לראש מבלי לעצור ולחשוב","מאז הסקר האחרון, היה לי קשה להפסיק לעשות משהו אחרי שביקשו ממני להפסיק (לדוגמה כשמורים מבקשים ממני להפסיק לדבר בכיתה או כשאבא מבקש ממני להפסיק להיות מול המסך)","מאז הסקר האחרון, הרגשתי עצובה או מדוכאת","ברגע זה, אני מרגישה טוב","מאז הסקר האחרון, אבא שלי הסכים לכל מה שרציתי","מאז הסקר האחרון, שיתפתי את אבא שלי ברגשות/תחושות שלי (שאני שמחה / עצובה / כועסת / עצבנית / שקרה לי משהו מרגש היום)","מאז הסקר האחרון, אבא שלי העביר עליי ביקורת","מאז הסקר האחרון, עצבנתי את אבא שלי","מאז הסקר האחרון, אבא שלי התעצבן או צעק עליי","מאז הסקר האחרון, אבא שלי היה סבלני כלפיי","מאז הסקר האחרון, אבא שלי החמיא לי כשעשיתי משהו בצורה טובה","היום אבא שלי דיבר איתי על החברים שלי או על היום שלי","היום אני ואבא שלי בילינו זמן כיף ביחד","מאז הסקר האחרון, אבא שלי איים להעניש אותי אבל לא עשה זאת","היום אבא שלי עזר לי במשהו (כמו הקפצה לחוג/תנועת נוער, עזרה בשיעורי בית וכו')","! מזכירים לשחק גם במשחק"
,,,,,,,,,,,,,"Response Type","Scale","Scale","Scale","Scale","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Scale","Scale","Scale","Text","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Instruction"
"Start Date","End Date","Time Scheduled","Duration (in seconds)","Day of Survey","Occasion within Day","Finished","Participant ID","Location - Lat","Location - Long","No Login","Group Code","ip address","Choices","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ צעקתי ]","[ טרקתי דלת ]","[ זרקתי משהו ]","[ זרקתי משהו על מישהו ]","[ הרבצתי ]","[ לא התפרצתי בכעס ]","[ התפרצתי בכעס בצורה אחרת (בבקשה לפרט) ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]",,"[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]",
"01/02/2025 06:17PM","01/02/2025 06:22PM","01/02/2025 05:00PM - 01/02/2025 11:00PM",316.171,"2","1","Finished","6775466bc6a0e6121dce8cc1",,,"no","-","192.168.0.101","Participant 3","3","2","6","5","No","No","No","No","No","Yes","","1","3","5","לא עצבן אותי שום דבר 
","2","1","3","7","6","6","2","5","4","5","7","4","7","2","6",
"01/03/2025 05:03PM","01/03/2025 05:19PM","01/03/2025 05:00PM - 01/03/2025 11:00PM",990.954,"3","1","Finished","6775466bc6a0e6121dce8cc1",,,"no","-","192.168.0.101","Participant 3","6","3","6","4","Yes","No","No","No","No","No","","1","5","7","ילדה   מהכיתה היתה אמורה להגיע לבית הספר לעזור לי בהכנות של המסיבה בכיתה והיא לא הגיעה.","5","1","2","7","3","7","5","6","6","7","6","6","5","1","6",
"01/04/2025 08:11PM","01/04/2025 08:17PM","01/04/2025 05:00PM - 01/04/2025 11:00PM",365.354,"4","1","Finished","6775466bc6a0e6121dce8cc1",,,"no","-","192.168.0.101","Participant 3","6","2","1","5","No","No","No","No","No","Yes","","2","3","3","עצבן אותי שהלכתי עם סבתא שלי ליד ושום מסעדה לא היתה פתוחה!","3","4","4","5","1","1","1","1","1","1","1","1","1","1","1",
"01/05/2025 06:19PM","01/05/2025 06:23PM","01/05/2025 05:00PM - 01/05/2025 11:00PM",227.524,"5","1","Finished","6775466bc6a0e6121dce8cc1",,,"no","-","192.168.0.101","Participant 3","6","2","7","6","No","No","No","No","No","Yes","","2","5","6","לא עצבן אותי שום דבר 
","5","3","3","4","1","2","1","1","1","5","5","4","1","1","1",
"01/20/2025 09:43PM","01/20/2025 09:52PM","01/20/2025 05:00PM - 01/20/2025 11:00PM",538.065,"2","1","Finished","678d185d58adab1eb935dcab",,,"no","-","10.84.42.175","Participant 4","2","3","1","2","No","No","No","No","No","Yes","","1","2","5","..היה לי בלבול עם שעות חוג","3","1","1","7","5","5","1","1","1","7","5","5","1","1","7",
"01/21/2025 10:04PM","01/21/2025 10:08PM","01/21/2025 05:00PM - 01/21/2025 11:00PM",260.953,"3","1","Finished","678d185d58adab1eb935dcab",,,"no","-","10.84.42.175","Participant 4","3","3","3","2","Yes","No","No","No","No","No","","1","5","2","יש לי מבחן מחר","1","1","2","7","7","6","2","1","1","7","7","6","1","1","6",
"01/22/2025 08:52PM","01/22/2025 08:56PM","01/22/2025 05:00PM - 01/22/2025 11:00PM",244.297,"4","1","Finished","678d185d58adab1eb935dcab",,,"no","-","10.84.42.175","Participant 4","3","5","5","6","Yes","No","No","No","No","No","","5","5","5","שחברה אמרה לי בואי להיפגש אחרי שהיה לי בגרות היום אז אמרתי לה לא אני עייפה והיא אמרה לי שזה מעצבן כי היא פינתה את היום שלה בשביל זה ( והיא לא דיברה איתי על זה לפני ) אז מעצבן אותי שהימתעצבנת אליי בקבוצה עם עוד אנשים וזה מביך","3","5","4","6","2","2","3","6","5","4","5","5","3","1","3",
